Date Reported,Date Occurred,Month,Day,Year,Time Occurred,Hour,Area ID,Area Name,Location ,Latitude,Longitude,Description,Classified Crime Type
2/15/2013,9/8/2012,9,8,2012,2230,22,19,Mission,"(34.3066, -118.4712)",34.0423,-118.4712,ROBBERY FROM STREET,Sexual Assault
2/28/2013,1/23/2012,1,23,2012,1800,18,19,Mission,"(34.2283, -118.4654)",34.0482,-118.4654,ROBBERY FROM STREET,Sexual Assault
4/20/2013,10/15/2012,10,15,2012,1200,12,19,Mission,"(34.2546, -118.4696)",34.0454,-118.4696,ROBBERY FROM STREET,Sexual Assault
12/22/2013,6/22/2012,6,22,2012,1500,15,19,Mission,"(34.2985, -118.4466)",34.048,-118.4466,ROBBERY FROM STREET,Sexual Assault
6/3/2014,6/1/2012,6,1,2012,1200,12,19,Mission,"(34.2253, -118.4361)",34.0327,-118.4361,ROBBERY FROM STREET,Sexual Assault
6/3/2014,6/1/2012,6,1,2012,1200,12,19,Mission,"(34.2253, -118.4361)",34.0578,-118.4361,ROBBERY FROM STREET,Sexual Assault
6/4/2016,5/30/2012,5,30,2012,1800,18,19,Mission,"(34.2427, -118.4502)",34.0473,-118.4502,ROBBERY FROM STREET,Sexual Assault
9/26/2013,7/27/2012,7,27,2012,2300,23,20,Olympic,"(34.0737, -118.3067)",34.0459,-118.3067,ROBBERY FROM STREET,Sexual Assault
3/22/2016,6/1/2012,6,1,2012,2300,23,20,Olympic,"(34.0712, -118.2975)",34.0417,-118.2975,ROBBERY FROM STREET,Sexual Assault
10/31/2016,10/31/2012,10,31,2012,1300,13,20,Olympic,"(34.0618, -118.2916)",34.0461,-118.2916,ROBBERY FROM STREET,Sexual Assault
1/5/2013,1/4/2012,1,4,2012,1800,18,21,Topanga,"(34.1973, -118.6473)",34.0423,-118.6473,ROBBERY FROM STREET,Sexual Assault
1/7/2013,3/1/2012,3,1,2012,1,0,21,Topanga,"(34.1956, -118.5943)",34.0537,-118.5943,ROBBERY FROM STREET,Sexual Assault
3/18/2013,12/6/2012,12,6,2012,2245,22,21,Topanga,"(34.1912, -118.5941)",34.0478,-118.5941,ROBBERY FROM STREET,Sexual Assault
3/31/2013,12/1/2012,12,1,2012,1,0,21,Topanga,"(34.1908, -118.5753)",34.0423,-118.5753,ROBBERY FROM STREET,Sexual Assault
9/10/2013,6/10/2012,6,10,2012,30,0,21,Topanga,"(34.1938, -118.6081)",34.0446,-118.6081,ROBBERY FROM STREET,Sexual Assault
11/14/2013,7/7/2012,7,7,2012,800,8,21,Topanga,"(34.2083, -118.6016)",34.0398,-118.6016,ROBBERY FROM STREET,Sexual Assault
11/18/2013,8/10/2012,8,10,2012,1000,10,21,Topanga,"(34.2176, -118.6016)",34.0435,-118.6016,ROBBERY FROM STREET,Sexual Assault
12/11/2014,7/1/2012,7,1,2012,800,8,21,Topanga,"(34.2128, -118.6104)",34.0382,-118.6104,ROBBERY FROM STREET,Sexual Assault
3/10/2016,12/31/2012,12,31,2012,2359,23,21,Topanga,"(34.1926, -118.5819)",34.0489,-118.5819,ROBBERY FROM STREET,Sexual Assault
8/31/2016,1/1/2012,1,1,2012,1400,14,21,Topanga,"(34.191, -118.6468)",34.0663,-118.6468,ROBBERY FROM STREET,Sexual Assault
11/11/2016,6/1/2012,6,1,2012,1200,12,21,Topanga,"(34.2083, -118.6016)",34.0446,-118.6016,ROBBERY FROM STREET,Sexual Assault
1/5/2013,11/20/2012,11,20,2012,1000,10,1,Central,"(34.0446, -118.245)",34.0424,-118.245,ROBBERY FROM STREET,Robbery from street
2/16/2013,2/16/2012,2,16,2012,300,3,1,Central,"(34.0434, -118.2577)",34.0467,-118.2577,ROBBERY FROM STREET,Robbery from street
2/18/2013,11/3/2012,11,3,2012,100,1,2,Rampart,"(34.0605, -118.2814)",34.058,-118.2814,ROBBERY FROM STREET,Robbery from street
1/12/2013,11/3/2012,11,3,2012,1400,14,3,Southwest,"(34.0234, -118.3554)",34.0256,-118.3554,ROBBERY FROM STREET,Robbery from street
1/29/2013,10/8/2012,10,8,2012,1800,18,3,Southwest,"(34.0325, -118.3519)",34.0085,-118.3519,ROBBERY FROM STREET,Robbery from street
1/1/2013,12/31/2012,12,31,2012,1900,19,5,Harbor,"(33.7306, -118.2924)",33.8583,-118.2924,ROBBERY FROM STREET,Robbery from street
2/9/2013,11/20/2012,11,20,2012,1730,17,5,Harbor,"(33.7837, -118.2476)",33.7397,-118.2476,ROBBERY FROM STREET,Robbery from street
1/3/2013,11/1/2012,11,1,2012,1200,12,6,Hollywood,"(34.098, -118.3267)",34.093,-118.3267,ROBBERY FROM STREET,Robbery from street
